Código,Escola,end1,Número,end1,Endereco,Bairro,Cidade,DDD,Telefone,CEP,email,Tipo,Lat,Lng
701491,CEJA DE JARAGUA DO SUL,RUA JOAO JANUARIO AYROSO,115,"RUA JOAO JANUARIO AYROSO, ","RUA JOAO JANUARIO AYROSO, 115",JARAGUA ESQUERDO,JARAGUÁ DO SUL,47,32769434,89253100,ceja24@sed.sc.gov.br,Estaduais,"-26,495558","-49,089306"
91596,EEB ALVINO TRIBESS,RUA ADOLFO TRIBESS,180,"RUA ADOLFO TRIBESS, ","RUA ADOLFO TRIBESS, 180",VIEIRA,JARAGUÁ DO SUL,47,32769460,89256690,alvinotribess@sed.sc.gov.br,Estaduais,"-26,8699407","-49,0476433"
91650,EEB ELZA GRANZOTTO FERRAZ,RUA CARLOS FREDERICO RAMTHUM,16950,"RUA CARLOS FREDERICO RAMTHUM, ","RUA CARLOS FREDERICO RAMTHUM, 16950",SANTA LUZIA,JARAGUÁ DO SUL,47,32769462,89267000,elzagranzotto@sed.sc.gov.br,Estaduais,"-26,3705202","-49,1257934"
111686,EEB ERICH GRUETZMACHER,RUA AUGUSTO DEMARCHI,399,"RUA AUGUSTO DEMARCHI, ","RUA AUGUSTO DEMARCHI, 399",TRES RIOS DO SUL,JARAGUÁ DO SUL,47,32769450,89252240,erichgruetzmacher@sed.sc.gov.br,Estaduais,"-26,457077","-49,1352893"
91855,EEB EUCLIDES DA CUNHA,R HENRIQUE DEMATHE,15,"R HENRIQUE DEMATHE, ","R HENRIQUE DEMATHE, 15",NEREU RAMOS,JARAGUÁ DO SUL,47,32769441,89265730,euclidesdacunha@sed.sc.gov.br,Estaduais,"-26,4535073","-49,1669158"
91391,EEB HOLANDO MARCELLINO GONCALVES,RUA JOSÉ THEODORO RIBEIRO,689,"RUA JOSÉ THEODORO RIBEIRO, ","RUA JOSÉ THEODORO RIBEIRO, 689",ILHA DA FIGUEIRA,JARAGUÁ DO SUL,47,32769472,89258000,homago@sed.sc.gov.br,Estaduais,"-26,4913697","-49,0645063"
91863,EEB JULIUS KARSTEN,RUA WALDEMAR RAU,222,"RUA WALDEMAR RAU, ","RUA WALDEMAR RAU, 222",WALDEMAR RAU,JARAGUÁ DO SUL,47,32769448,89254260,juliuskarsten@sed.sc.gov.br,Estaduais,"-26,4657848","-49,112279"
91847,EEB PROF GIARDINI LUIZ LENZI,MARCELO BARBI,525,"MARCELO BARBI, ","MARCELO BARBI, 525",TIFA MARTINS,JARAGUÁ DO SUL,47,32769439,89252550,giardinilenzi@sed.sc.gov.br,Estaduais,"-26,4890803","-49,1039031"
91553,EEB PROF HELEODORO BORGES,R ERNESTO EMILIO HORST,154,"R ERNESTO EMILIO HORST, ","R ERNESTO EMILIO HORST, 154",VILA LALAU,JARAGUÁ DO SUL,47,3276-9444,89256380,heleodoroborges@sed.sc.gov.br,Estaduais,"-26,4803663","-49,0661512"
91260,EEB PROF JOAO ROMARIO MOREIRA,RUA AURORA,0,"RUA AURORA, ","RUA AURORA, 0",RIO CERRO II,JARAGUÁ DO SUL,47,32769454,89260995,seriedh24pjmoreira@sed.sc.gov.br,Estaduais,"-16,648817","-49,145166"
91278,EEB PROF JOSE DUARTE MAGALHAES,ANGELO RUBINI,2384,"ANGELO RUBINI, ","ANGELO RUBINI, 2384",BARRA RIO CERRO,JARAGUÁ DO SUL,47,32769452,89260000,duartemagalhaes@sed.sc.gov.br,Estaduais,"-26,5123551","-49,1210989"
91421,EEB PROF LILIA AYROSO OECHSLER,R JOSE THEODORO RIBEIRO,4210,"R JOSE THEODORO RIBEIRO, ","R JOSE THEODORO RIBEIRO, 4210",ILHA DA FIGUEIRA,JARAGUÁ DO SUL,47,32769433,89258000,liliaayroso@sed.sc.gov.br,Estaduais,"-26,4898507","-49,0310963"
91472,EEB PROF VALDETE I P ZINDARS,RUA PROF MARINA FRUTUOSO,545,"RUA PROF MARINA FRUTUOSO, ","RUA PROF MARINA FRUTUOSO, 545",CENTRO,JARAGUÁ DO SUL,47,32769458,89251500,seriedh24vzindars@sed.sc.gov.br,Estaduais,"-26,493124","-49,078908"
91413,EEB ROLAND HAROLD DORNBUSCH,RUA ARTHUR HENSCHEL,117,"RUA ARTHUR HENSCHEL, ","RUA ARTHUR HENSCHEL, 117",BARRA RIO MOLHA,JARAGUÁ DO SUL,47,32769457,89259580,rolanddornbusch@sed.sc.gov.br,Estaduais,"-26,5050627","-49,088205"
91545,EEM ABDON BATISTA,RUA PRESIDENTE EPITACIO PESSOA,473,"RUA PRESIDENTE EPITACIO PESSOA, ","RUA PRESIDENTE EPITACIO PESSOA, 473",CENTRO,JARAGUÁ DO SUL,47,32739446,89251100,abdonbatista@sed.sc.gov.br,Estaduais,"-26,4780853","-49,085304"
129100,EEM PROF DARCI FRANKE WELK,RUA CARLOS TRIBESS,150,"RUA CARLOS TRIBESS, ","RUA CARLOS TRIBESS, 150",SÃO LUÍS,JARAGUÁ DO SUL,47,32769436,89253535,darcyfranke@sed.sc.gov.br,Estaduais,"-26,504704","-49,1123078"
129097,EEM VITOR MEIRELLES,RUA SIZINO GARCIA,565,"RUA SIZINO GARCIA, ","RUA SIZINO GARCIA, 565",SANTO ANTONIO,JARAGUÁ DO SUL,47,32769336,89266310,seriedh24vmeirelles@sed.sc.gov.br,Estaduais,"-26,4332561","-49,1498044"
155209,UD PRESIDIO REGIONAL DE JARAGUA DO SUL,RUA ALVINO FLOR DA SILVA,901,"RUA ALVINO FLOR DA SILVA, ","RUA ALVINO FLOR DA SILVA, 901",JARAGUA 84,JARAGUÁ DO SUL,47,33760031,89260875,presidiojaragua@deap.sc.gov.br,Estaduais,"-26,5167736","-49,1591807"
